Suspicious RendezVous : { Vessel_1 : 235102352, Vessel_2 : 311368000 , Gap_End_1 : 1452472615 , Gap_End_2 : 1452545300, GeoHash : gbsg68, Lon1 : 48.383827 , Lat1 : -4.451055, Lon2 : 48.385166 , Lat2 : -4.458165 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1452471624 , Gap_End_2 : 1452545314, GeoHash : gbsg1m, Lon1 : 48.369167 , Lat1 : -4.513665, Lon2 : 48.36962 , Lat2 : -4.515 }
Suspicious RendezVous : { Vessel_1 : 999999999, Vessel_2 : 228064900 , Gap_End_1 : 1452471625 , Gap_End_2 : 1452545445, GeoHash : gbsg1k, Lon1 : 48.36664 , Lat1 : -4.506678, Lon2 : 48.36474 , Lat2 : -4.5117335 }
Suspicious RendezVous : { Vessel_1 : 235102352, Vessel_2 : 228041600 , Gap_End_1 : 1452545420 , Gap_End_2 : 1452545446, GeoHash : gbsg4x, Lon1 : 48.38376 , Lat1 : -4.4509583, Lon2 : 48.383118 , Lat2 : -4.455983 }
Suspicious RendezVous : { Vessel_1 : 311368000, Vessel_2 : 228041600 , Gap_End_1 : 1452545300 , Gap_End_2 : 1452626235, GeoHash : gbsg68, Lon1 : 48.385166 , Lat1 : -4.458165, Lon2 : 48.38483 , Lat2 : -4.4569 }
Suspicious RendezVous : { Vessel_1 : 311368000, Vessel_2 : 228041600 , Gap_End_1 : 1452626120 , Gap_End_2 : 1452626235, GeoHash : gbsg68, Lon1 : 48.38514 , Lat1 : -4.4581666, Lon2 : 48.38483 , Lat2 : -4.4569 }
Suspicious RendezVous : { Vessel_1 : 228041600, Vessel_2 : 311368000 , Gap_End_1 : 1452626235 , Gap_End_2 : 1452716482, GeoHash : gbsg68, Lon1 : 48.38483 , Lat1 : -4.4569, Lon2 : 48.385174 , Lat2 : -4.4581017 }
Suspicious RendezVous : { Vessel_1 : 228037600, Vessel_2 : 227318010 , Gap_End_1 : 1452716518 , Gap_End_2 : 1452716586, GeoHash : gbscte, Lon1 : 48.098034 , Lat1 : -4.324085, Lon2 : 48.09807 , Lat2 : -4.3243985 }
Suspicious RendezVous : { Vessel_1 : 311368000, Vessel_2 : 356071000 , Gap_End_1 : 1452716482 , Gap_End_2 : 1452716594, GeoHash : gbsg68, Lon1 : 48.385174 , Lat1 : -4.4581017, Lon2 : 48.38578 , Lat2 : -4.4590282 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1452626323 , Gap_End_2 : 1452716600, GeoHash : gbsg1m, Lon1 : 48.369625 , Lat1 : -4.514995, Lon2 : 48.371166 , Lat2 : -4.512998 }
Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 226263000 , Gap_End_1 : 1452626184 , Gap_End_2 : 1452716659, GeoHash : gbsg1z, Lon1 : 48.381092 , Lat1 : -4.4857016, Lon2 : 48.37986 , Lat2 : -4.4858484 }
