Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1458122807 , Gap_End_2 : 1458122808, GeoHash : gbsg1x, Lon1 : 48.383633 , Lat1 : -4.49544, Lon2 : 48.379585 , Lat2 : -4.4971085 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227705102 , Gap_End_1 : 1458122808 , Gap_End_2 : 1458123505, GeoHash : gbsg1x, Lon1 : 48.379585 , Lat1 : -4.4971085, Lon2 : 48.38365 , Lat2 : -4.49535 }
Suspicious RendezVous : { Vessel_1 : 227436000, Vessel_2 : 227318010 , Gap_End_1 : 1457868214 , Gap_End_2 : 1458147233, GeoHash : gbscts, Lon1 : 48.098217 , Lat1 : -4.325665, Lon2 : 48.098984 , Lat2 : -4.320648 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 636016457 , Gap_End_1 : 1458068038 , Gap_End_2 : 1458147274, GeoHash : gbsg4r, Lon1 : 48.380074 , Lat1 : -4.47074, Lon2 : 48.38348 , Lat2 : -4.4646235 }
Suspicious RendezVous : { Vessel_1 : 227142200, Vessel_2 : 228144000 , Gap_End_1 : 1458089587 , Gap_End_2 : 1458147378, GeoHash : gbscte, Lon1 : 48.097996 , Lat1 : -4.324045, Lon2 : 48.096546 , Lat2 : -4.3195815 }
Suspicious RendezVous : { Vessel_1 : 227318010, Vessel_2 : 228293000 , Gap_End_1 : 1458147233 , Gap_End_2 : 1458148041, GeoHash : gbscts, Lon1 : 48.098984 , Lat1 : -4.320648, Lon2 : 48.09833 , Lat2 : -4.325765 }
Suspicious RendezVous : { Vessel_1 : 228293000, Vessel_2 : 228218700 , Gap_End_1 : 1458148041 , Gap_End_2 : 1458148056, GeoHash : gbscts, Lon1 : 48.09833 , Lat1 : -4.325765, Lon2 : 48.098785 , Lat2 : -4.322322 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1458123505 , Gap_End_2 : 1458177055, GeoHash : gbsg1x, Lon1 : 48.38365 , Lat1 : -4.49535, Lon2 : 48.383667 , Lat2 : -4.495458 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1458147241 , Gap_End_2 : 1458177055, GeoHash : gbsg1x, Lon1 : 48.38364 , Lat1 : -4.495313, Lon2 : 48.383667 , Lat2 : -4.495458 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1458177052 , Gap_End_2 : 1458177055, GeoHash : gbsg1x, Lon1 : 48.38366 , Lat1 : -4.495343, Lon2 : 48.383667 , Lat2 : -4.495458 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1458177055 , Gap_End_2 : 1458177057, GeoHash : gbsg1x, Lon1 : 48.383667 , Lat1 : -4.495458, Lon2 : 48.379547 , Lat2 : -4.4970717 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227705102 , Gap_End_1 : 1458177057 , Gap_End_2 : 1458215182, GeoHash : gbsg1x, Lon1 : 48.379547 , Lat1 : -4.4970717, Lon2 : 48.383606 , Lat2 : -4.4953685 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227580520 , Gap_End_1 : 1458215182 , Gap_End_2 : 1458215196, GeoHash : gbsg1x, Lon1 : 48.383606 , Lat1 : -4.4953685, Lon2 : 48.379566 , Lat2 : -4.496967 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1458215196 , Gap_End_2 : 1458215200, GeoHash : gbsg1x, Lon1 : 48.379566 , Lat1 : -4.496967, Lon2 : 48.383606 , Lat2 : -4.49544 }
Suspicious RendezVous : { Vessel_1 : 228218700, Vessel_2 : 226177000 , Gap_End_1 : 1458148056 , Gap_End_2 : 1458215319, GeoHash : gbscts, Lon1 : 48.098785 , Lat1 : -4.322322, Lon2 : 48.09823 , Lat2 : -4.3258066 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228736000 , Gap_End_1 : 1458122821 , Gap_End_2 : 1458245579, GeoHash : gbsg1m, Lon1 : 48.370834 , Lat1 : -4.5125785, Lon2 : 48.369934 , Lat2 : -4.514652 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228736000 , Gap_End_1 : 1458215190 , Gap_End_2 : 1458245579, GeoHash : gbsg1m, Lon1 : 48.370834 , Lat1 : -4.512665, Lon2 : 48.369934 , Lat2 : -4.514652 }
Suspicious RendezVous : { Vessel_1 : 228736000, Vessel_2 : 228186700 , Gap_End_1 : 1458245579 , Gap_End_2 : 1458245582, GeoHash : gbsg1m, Lon1 : 48.369934 , Lat1 : -4.514652, Lon2 : 48.37084 , Lat2 : -4.512582 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1458215200 , Gap_End_2 : 1458245593, GeoHash : gbsg1x, Lon1 : 48.383606 , Lat1 : -4.49544, Lon2 : 48.38368 , Lat2 : -4.4953465 }
