Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 228186700 , Gap_End_1 : 1443815725 , Gap_End_2 : 1443816372, GeoHash : gbsg1, Lon1 : 48.37929 , Lat1 : -4.4841585, Lon2 : 48.370834 , Lat2 : -4.5124984 }
Suspicious RendezVous : { Vessel_1 : 227116100, Vessel_2 : 228109000 , Gap_End_1 : 1443811505 , Gap_End_2 : 1443816602, GeoHash : gbs6j, Lon1 : 48.197815 , Lat1 : -5.0404935, Lon2 : 48.174095 , Lat2 : -5.0249066 }
Suspicious RendezVous : { Vessel_1 : 259019000, Vessel_2 : 228109000 , Gap_End_1 : 1443759903 , Gap_End_2 : 1443825612, GeoHash : gbs6w, Lon1 : 48.261475 , Lat1 : -4.9911785, Lon2 : 48.25425 , Lat2 : -4.9679685 }
Suspicious RendezVous : { Vessel_1 : 228109000, Vessel_2 : 305709000 , Gap_End_1 : 1443786263 , Gap_End_2 : 1443841893, GeoHash : gbs3g, Lon1 : 48.148273 , Lat1 : -5.1016135, Lon2 : 48.129505 , Lat2 : -5.1410685 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 227005550 , Gap_End_1 : 1443816372 , Gap_End_2 : 1443845775, GeoHash : gbsg1, Lon1 : 48.370834 , Lat1 : -4.5124984, Lon2 : 48.3807 , Lat2 : -4.4872584 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 228186700 , Gap_End_1 : 1443845775 , Gap_End_2 : 1443847271, GeoHash : gbsg1, Lon1 : 48.3807 , Lat1 : -4.4872584, Lon2 : 48.370834 , Lat2 : -4.5124984 }
Suspicious RendezVous : { Vessel_1 : 227312180, Vessel_2 : 228336000 , Gap_End_1 : 1443848186 , Gap_End_2 : 1443848513, GeoHash : gbsdf, Lon1 : 48.337685 , Lat1 : -4.827565, Lon2 : 48.3325 , Lat2 : -4.80305 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228017700 , Gap_End_1 : 1443847271 , Gap_End_2 : 1443853401, GeoHash : gbsg1, Lon1 : 48.370834 , Lat1 : -4.5124984, Lon2 : 48.379265 , Lat2 : -4.4839735 }
Suspicious RendezVous : { Vessel_1 : 228827000, Vessel_2 : 228017700 , Gap_End_1 : 1443775910 , Gap_End_2 : 1443859269, GeoHash : gbse4, Lon1 : 48.37598 , Lat1 : -4.8021717, Lon2 : 48.38257 , Lat2 : -4.8177586 }
Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 205204000 , Gap_End_1 : 1443853401 , Gap_End_2 : 1443861269, GeoHash : gbsg1, Lon1 : 48.379265 , Lat1 : -4.4839735, Lon2 : 48.36949 , Lat2 : -4.5148 }
Suspicious RendezVous : { Vessel_1 : 205204000, Vessel_2 : 227306100 , Gap_End_1 : 1443861269 , Gap_End_2 : 1443862223, GeoHash : gbsg1, Lon1 : 48.36949 , Lat1 : -4.5148, Lon2 : 48.35919 , Lat2 : -4.483365 }
Suspicious RendezVous : { Vessel_1 : 227306100, Vessel_2 : 227005550 , Gap_End_1 : 1443862223 , Gap_End_2 : 1443870775, GeoHash : gbsg1, Lon1 : 48.35919 , Lat1 : -4.483365, Lon2 : 48.379684 , Lat2 : -4.484997 }
Suspicious RendezVous : { Vessel_1 : 227016100, Vessel_2 : 227704000 , Gap_End_1 : 1443870978 , Gap_End_2 : 1443872163, GeoHash : gbs8v, Lon1 : 47.98022 , Lat1 : -4.68299, Lon2 : 47.970432 , Lat2 : -4.67009 }
