Suspicious RendezVous : { Vessel_1 : 227002330, Vessel_2 : 226263000 , Gap_End_1 : 1446498421 , Gap_End_2 : 1446498485, GeoHash : gbsg1z, Lon1 : 48.380672 , Lat1 : -4.485965, Lon2 : 48.379814 , Lat2 : -4.485755 }
Suspicious RendezVous : { Vessel_1 : 227148000, Vessel_2 : 227592820 , Gap_End_1 : 1446450115 , Gap_End_2 : 1446501220, GeoHash : gbsg1x, Lon1 : 48.380272 , Lat1 : -4.498325, Lon2 : 48.382458 , Lat2 : -4.4967084 }
Suspicious RendezVous : { Vessel_1 : 227148000, Vessel_2 : 227592820 , Gap_End_1 : 1446498355 , Gap_End_2 : 1446501220, GeoHash : gbsg1x, Lon1 : 48.380295 , Lat1 : -4.4982915, Lon2 : 48.382458 , Lat2 : -4.4967084 }
Suspicious RendezVous : { Vessel_1 : 227592820, Vessel_2 : 227148000 , Gap_End_1 : 1446501220 , Gap_End_2 : 1446600956, GeoHash : gbsg1x, Lon1 : 48.382458 , Lat1 : -4.4967084, Lon2 : 48.380272 , Lat2 : -4.498268 }
Suspicious RendezVous : { Vessel_1 : 226263000, Vessel_2 : 227002330 , Gap_End_1 : 1446498485 , Gap_End_2 : 1446601024, GeoHash : gbsg1z, Lon1 : 48.379814 , Lat1 : -4.485755, Lon2 : 48.38143 , Lat2 : -4.4858384 }
Suspicious RendezVous : { Vessel_1 : 226263000, Vessel_2 : 227002330 , Gap_End_1 : 1446600959 , Gap_End_2 : 1446601024, GeoHash : gbsg1z, Lon1 : 48.379826 , Lat1 : -4.48575, Lon2 : 48.38143 , Lat2 : -4.4858384 }
Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 228336000 , Gap_End_1 : 1446397622 , Gap_End_2 : 1446601098, GeoHash : gbse55, Lon1 : 48.357674 , Lat1 : -4.78575, Lon2 : 48.36002 , Lat2 : -4.7799883 }
Suspicious RendezVous : { Vessel_1 : 227148000, Vessel_2 : 227592820 , Gap_End_1 : 1446600956 , Gap_End_2 : 1446608014, GeoHash : gbsg1x, Lon1 : 48.380272 , Lat1 : -4.498268, Lon2 : 48.38244 , Lat2 : -4.4966764 }
Suspicious RendezVous : { Vessel_1 : 227142200, Vessel_2 : 228947000 , Gap_End_1 : 1446399538 , Gap_End_2 : 1446609193, GeoHash : gbkzup, Lon1 : 47.807507 , Lat1 : -4.388855, Lon2 : 47.80926 , Lat2 : -4.38977 }
Suspicious RendezVous : { Vessel_1 : 228947000, Vessel_2 : 228333000 , Gap_End_1 : 1446609193 , Gap_End_2 : 1446611592, GeoHash : gbkzup, Lon1 : 47.80926 , Lat1 : -4.38977, Lon2 : 47.80868 , Lat2 : -4.385132 }
